id,name,racing_chair,day_chair,off_road_chair,handbike,frame_runner,walking_frame,crutches,walking_stick
2505,"Goulburn River Trail parkrun, Seymour",0,10,70,15,20,0,40,50
896,Goulburn parkrun,50,55,80,50,80,50,75,80
2056,Gracepoint parkrun,0,5,80,25,25,0,35,45
1023,Grafton parkrun,0,0,50,0,0,0,20,30
1684,Graham Andrews parkrun,0,10,65,15,10,0,25,30
2718,"Grahamstown Aquatic Centre parkrun, Medowie",50,55,85,55,80,45,80,85
830,Grahamstown parkrun,0,0,0,0,0,0,0,0
1725,"Grand Ridge Rail Trail parkrun, Mirboo North",0,5,70,10,0,0,30,45
1632,Grange Paddocks junior parkrun,0,0,30,0,0,0,0,15
1000,Grangemoor parkrun,35,60,95,45,100,50,90,85
160,Graves junior parkrun,0,0,0,0,0,0,0,0
426,Graves parkrun,0,0,40,0,0,0,0,5
854,Gravesend junior parkrun,0,5,35,0,20,10,15,20
995,Great Cornard junior parkrun,0,0,35,0,0,0,0,0
706,Great Cornard parkrun,0,0,0,0,0,0,0,0
2631,Great Denham junior parkrun,0,0,25,0,0,0,0,0
1370,Great Denham parkrun,0,20,100,30,35,0,40,40
1432,Great Dunmow parkrun,0,0,0,0,0,0,0,0
663,"Great Lines parkrun, Medway",0,0,65,0,0,0,0,15
970,Great Notley junior parkrun,0,0,0,0,0,0,0,0
783,Great Notley parkrun,0,0,0,0,0,0,0,0
2193,Great Salterns parkrun,0,0,20,0,0,0,0,0
2619,"Great Southern Rail Trail parkrun, Korumburra",0,0,30,0,0,0,0,5
2622,Great Wakering Rec junior parkrun,0,0,0,0,0,0,0,0
1940,Great Yarmouth North Beach parkrun,0,0,0,0,0,0,0,0
1356,GreenWay parkrun,35,50,85,50,80,40,80,75
1269,Greenbank parkrun,90,90,95,80,100,100,100,95
2720,Greendale Farm Shop parkrun,0,0,55,0,0,0,0,0
1984,Greenfield Valley parkrun,0,0,85,5,20,0,35,45
269,Greenock parkrun,15,30,85,30,65,20,60,65
598,Greenpoint parkrun,10,30,95,35,60,10,50,55
1865,Greenstone Hill parkrun,0,0,25,0,0,0,0,0
2796,Greveskogen parkrun,55,70,100,70,90,70,100,100
2568,Greville Smyth Park junior parkrun,65,55,65,45,95,95,70,65
1602,Greytown Woodside Trail parkrun,50,55,80,45,80,55,80,85
594,Griffeen parkrun,50,50,65,45,80,70,65,60
1680,Groe parkrun,70,70,75,60,100,85,90,85
2496,Groene Ster parkrun,0,0,30,0,0,0,0,0
1864,Groeneweide parkrun,0,0,40,0,0,0,0,5
2114,Grove Fields parkrun,0,20,100,35,50,0,70,55
138,"Grovelands parkrun, Enfield",20,30,75,35,65,15,55,55
1900,Grüner Weg parkrun,65,60,65,50,75,75,80,85
1101,Guernsey parkrun,0,0,45,0,0,0,0,0
976,Guildford junior parkrun,0,0,0,0,0,0,0,0
164,Guildford parkrun,0,0,10,0,0,0,0,0
560,Gungahlin parkrun,60,60,75,50,90,65,80,85
275,Gunnersbury parkrun,0,5,45,5,25,0,20,35
368,Gunpowder parkrun,0,0,45,0,5,0,25,35
2347,Gyodashi sogokoen parkrun,35,30,45,25,40,35,50,60
145,Hackney Marshes parkrun,100,100,100,100,100,100,100,100
500,Hackworth parkrun,55,60,80,55,85,60,80,80
130,"Hadleigh parkrun, Essex",0,0,0,0,0,0,0,0
1662,Hafan Pwllheli parkrun,10,15,65,15,35,5,25,35
2598,Hafan Yr Afon junior parkrun,0,0,15,0,0,0,0,0
1167,Haga parkrun,55,45,55,40,65,50,60,70
799,Hagley parkrun,10,30,75,30,40,10,50,60
1027,Haigh Woodland parkrun,0,0,65,0,0,0,5,20
2840,Hailes Quarry junior parkrun,45,45,65,35,65,55,55,60
1676,Haldon Forest parkrun,0,0,70,0,25,0,35,40
2737,Halewood junior parkrun,10,5,45,10,30,10,15,25
216,Halifax parkrun,0,5,100,30,45,0,60,60
2609,Halsema Trailhead parkrun,100,100,100,100,100,100,100,100
2675,Halswell Quarry parkrun,40,45,80,40,65,30,70,80
932,Hamilton Island parkrun,10,20,100,50,50,0,30,40
642,Hamilton Lake parkrun,70,70,90,65,100,80,90,90
2135,"Hamilton Park parkrun, Gore",20,25,60,20,45,15,50,60
741,Hamilton parkrun,15,15,35,10,20,10,30,45
2240,Hamlet Park parkrun,25,50,100,50,85,25,90,90
